No.,Column Name,Use,Description
1,`Code`,`L`,Code linking to a corresponding look-up table.
2,`SoilDepth`,`MD`,Depth of soil beneath the surface [mm]
3,`SoilStoreCap`,`MD`,Limit value for `SoilDepth` [mm]
4,`SatHydraulicCond`,`MD`,Hydraulic conductivity for saturated soil [mm |s^-1|]
5,`SoilDensity`,`MD`,Soil density [kg |m^-3|]
6,`InfiltrationRate`,`O`,Infiltration rate.
