column,r_obs,rmse_obs,r_calc,rmse_calc
LAI_EveTr,1.0,8.124520199770872e-17,0.9244452911779621,1.8014414124427842
LAI_DecTr,1.0,8.124520199770872e-17,0.8894891050320339,0.9246285332318911
LAI_Grass,1.0,8.124520199770872e-17,0.895090800463276,1.0298147333943304
